order_id,item_id,product_id,quantity,list_price,discount,OrderItems_Id
34,3,17,2,429,0.2,343
35,1,18,1,449,0.05,351
35,2,20,2,599.99,0.05,352
35,3,5,1,1320.99,0.2,353
35,4,21,2,269.99,0.07,354
35,5,22,1,269.99,0.07,355
36,1,9,1,2999.99,0.07,361
36,2,5,1,1320.99,0.05,362
36,3,3,2,999.99,0.2,363
37,1,16,2,599.99,0.05,371
38,1,7,2,3999.99,0.05,381
38,2,23,1,299.99,0.07,382
38,3,25,1,499.99,0.2,383
38,4,10,2,1549,0.1,384
38,5,24,1,549.99,0.07,385
39,1,22,2,269.99,0.2,391
39,2,16,2,599.99,0.2,392
39,3,3,2,999.99,0.05,393
39,4,15,1,529.99,0.1,394
40,1,17,1,429,0.2,401
40,2,8,2,1799.99,0.2,402
41,1,5,1,1320.99,0.1,411
41,2,19,2,449,0.2,412
41,3,26,2,599.99,0.2,413
42,1,19,1,449,0.05,421
43,1,13,2,269.99,0.1,431
43,2,12,2,549.99,0.05,432
44,1,7,1,3999.99,0.1,441
44,2,16,1,599.99,0.05,442
45,1,4,2,2899.99,0.2,451
45,2,22,1,269.99,0.07,452
45,3,21,2,269.99,0.05,453
46,1,17,1,429,0.1,461
47,1,6,1,469.99,0.05,471
47,2,15,1,529.99,0.1,472
47,3,25,2,499.99,0.07,473
47,4,13,1,269.99,0.2,474
48,1,11,1,1680.99,0.1,481
48,2,4,1,2899.99,0.2,482
48,3,5,2,1320.99,0.1,483
48,4,14,2,269.99,0.07,484
49,1,13,2,269.99,0.07,491
50,1,3,1,999.99,0.05,501
50,2,26,2,599.99,0.07,502
50,3,13,2,269.99,0.2,503
51,1,13,1,269.99,0.05,511
51,2,20,1,599.99,0.05,512
51,3,26,2,599.99,0.2,513
52,1,25,1,499.99,0.07,521
53,1,8,2,1799.99,0.2,531
53,2,23,2,299.99,0.05,532
53,3,14,2,269.99,0.2,533
53,4,25,2,499.99,0.1,534
54,1,26,2,599.99,0.2,541
54,2,3,1,999.99,0.2,542
55,1,21,1,269.99,0.05,551
55,2,25,2,499.99,0.2,552
55,3,15,2,529.99,0.2,553
56,1,20,2,599.99,0.07,561
57,1,23,2,299.99,0.1,571
57,2,19,2,449,0.2,572
57,3,13,1,269.99,0.07,573
58,1,14,2,269.99,0.05,581
58,2,18,1,449,0.07,582
58,3,23,1,299.99,0.1,583
59,1,21,1,269.99,0.05,591
59,2,2,1,749.99,0.1,592
59,3,17,2,429,0.1,593
60,1,14,2,269.99,0.05,601
60,2,4,1,2899.99,0.1,602
60,3,15,1,529.99,0.07,603
60,4,22,1,269.99,0.2,604
61,1,25,1,499.99,0.1,611
61,2,15,2,529.99,0.05,612
61,3,5,2,1320.99,0.2,613
62,1,14,1,269.99,0.07,621
62,2,8,2,1799.99,0.1,622
62,3,22,2,269.99,0.1,623
63,1,25,2,499.99,0.1,631
63,2,19,2,449,0.05,632
63,3,3,1,999.99,0.1,633
64,1,25,2,499.99,0.1,641
64,2,22,2,269.99,0.2,642
64,3,23,2,299.99,0.2,643
64,4,24,2,549.99,0.1,644
65,1,12,1,549.99,0.1,651
66,1,2,1,749.99,0.2,661
66,2,23,1,299.99,0.07,662
66,3,12,1,549.99,0.07,663
67,1,23,2,299.99,0.2,671
67,2,12,2,549.99,0.1,672
67,3,21,1,269.99,0.2,673
67,4,5,2,1320.99,0.1,674
67,5,19,1,449,0.2,675
68,1,13,2,269.99,0.07,681
68,2,17,1,429,0.1,682
69,1,22,2,269.99,0.1,691
69,2,5,1,1320.99,0.2,692
69,3,10,1,1549,0.05,693
70,1,3,2,999.99,0.05,701
70,2,18,1,449,0.2,702
70,3,20,1,599.99,0.05,703
71,1,26,2,599.99,0.05,711
71,2,24,1,549.99,0.2,712
71,3,18,1,449,0.1,713
72,1,17,2,429,0.07,721
72,2,12,1,549.99,0.05,722
72,3,13,2,269.99,0.1,723
73,1,22,1,269.99,0.07,731
73,2,26,2,599.99,0.05,732
73,3,3,2,999.99,0.07,733
73,4,25,1,499.99,0.07,734
73,5,23,2,299.99,0.2,735
74,1,16,2,599.99,0.05,741
74,2,6,1,469.99,0.07,742
75,1,3,1,999.99,0.1,751
75,2,7,2,3999.99,0.07,752
75,3,15,1,529.99,0.2,753
76,1,12,1,549.99,0.05,761
76,2,11,2,1680.99,0.1,762
76,3,5,1,1320.99,0.07,763
77,1,20,1,599.99,0.07,771
77,2,24,2,549.99,0.1,772
77,3,26,1,599.99,0.2,773
77,4,25,1,499.99,0.2,774
78,1,17,1,429,0.07,781
78,2,19,1,449,0.2,782
78,3,18,2,449,0.1,783
78,4,14,2,269.99,0.1,784
79,1,9,2,2999.99,0.1,791
79,2,17,2,429,0.05,792
79,3,6,1,469.99,0.1,793
79,4,25,2,499.99,0.07,794
80,1,26,1,599.99,0.1,801
80,2,24,1,549.99,0.1,802
80,3,17,1,429,0.2,803
81,1,10,2,1549,0.2,811
81,2,23,2,299.99,0.05,812
81,3,25,2,499.99,0.05,813
82,1,25,2,499.99,0.1,821
82,2,11,2,1680.99,0.2,822
83,1,20,1,599.99,0.2,831
83,2,3,2,999.99,0.05,832
84,1,23,2,299.99,0.07,841
84,2,15,2,529.99,0.07,842
85,1,4,2,2899.99,0.05,851
85,2,18,1,449,0.07,852
86,1,9,2,2999.99,0.1,861
86,2,23,2,299.99,0.07,862
86,3,21,2,269.99,0.2,863
86,4,15,1,529.99,0.1,864
87,1,20,2,599.99,0.2,871
87,2,23,2,299.99,0.1,872
88,1,10,1,1549,0.07,881
88,2,8,2,1799.99,0.1,882
88,3,7,1,3999.99,0.1,883
89,1,5,1,1320.99,0.05,891
89,2,6,2,469.99,0.1,892
90,1,3,1,999.99,0.1,901
90,2,6,1,469.99,0.07,902
91,1,11,1,1680.99,0.1,911
91,2,25,1,499.99,0.05,912
91,3,15,2,529.99,0.07,913
91,4,13,2,269.99,0.07,914
92,1,8,1,1799.99,0.1,921
93,1,22,2,269.99,0.07,931
93,2,17,1,429,0.05,932
93,3,21,1,269.99,0.1,933
93,4,2,1,749.99,0.2,934
93,5,10,2,1549,0.07,935
94,1,12,1,549.99,0.05,941
94,2,4,1,2899.99,0.2,942
94,3,11,1,1680.99,0.2,943
94,4,21,2,269.99,0.07,944
95,1,10,2,1549,0.2,951
95,2,19,1,449,0.1,952
95,3,8,2,1799.99,0.2,953
95,4,20,2,599.99,0.05,954
96,1,26,1,599.99,0.1,961
96,2,23,1,299.99,0.05,962
97,1,20,2,599.99,0.2,971
97,2,2,1,749.99,0.07,972
97,3,6,2,469.99,0.2,973
97,4,19,1,449,0.1,974
98,1,19,1,449,0.07,981
98,2,21,1,269.99,0.1,982
98,3,2,1,749.99,0.2,983
98,4,22,2,269.99,0.2,984
99,1,13,1,269.99,0.2,991
99,2,21,1,269.99,0.2,992
99,3,25,2,499.99,0.05,993
99,4,7,2,3999.99,0.07,994
99,5,23,2,299.99,0.2,995
100,1,12,2,549.99,0.05,1001
100,2,11,2,1680.99,0.1,1002
100,3,7,2,3999.99,0.2,1003
100,4,16,2,599.99,0.2,1004
100,5,24,2,549.99,0.1,1005
101,1,12,2,549.99,0.2,1011
102,1,15,1,529.99,0.05,1021
102,2,22,1,269.99,0.07,1022
103,1,17,1,429,0.07,1031
103,2,3,1,999.99,0.05,1032
103,3,18,1,449,0.2,1033
103,4,15,2,529.99,0.1,1034
103,5,9,2,2999.99,0.1,1035
104,1,19,2,449,0.1,1041
104,2,26,1,599.99,0.05,1042
105,1,11,2,1680.99,0.2,1051
105,2,3,1,999.99,0.05,1052
105,3,9,1,2999.99,0.05,1053
106,1,17,1,429,0.1,1061
106,2,13,2,269.99,0.1,1062
107,1,19,1,449,0.2,1071
107,2,13,2,269.99,0.1,1072
108,1,11,1,1680.99,0.1,1081
108,2,22,2,269.99,0.07,1082
108,3,16,2,599.99,0.05,1083
109,1,22,2,269.99,0.1,1091
109,2,6,1,469.99,0.07,1092
110,1,14,1,269.99,0.1,1101
111,1,14,1,269.99,0.1,1111
111,2,12,2,549.99,0.07,1112
112,1,23,2,299.99,0.2,1121
112,2,25,2,499.99,0.07,1122
112,3,24,2,549.99,0.05,1123
112,4,5,1,1320.99,0.2,1124
113,1,12,2,549.99,0.07,1131
113,2,24,2,549.99,0.1,1132
113,3,6,1,469.99,0.07,1133
113,4,23,1,299.99,0.2,1134
113,5,5,2,1320.99,0.2,1135
114,1,12,1,549.99,0.05,1141
114,2,2,1,749.99,0.07,1142
114,3,13,2,269.99,0.1,1143
115,1,22,1,269.99,0.2,1151
115,2,19,1,449,0.1,1152
116,1,26,1,599.99,0.05,1161
117,1,22,2,269.99,0.2,1171
117,2,26,1,599.99,0.05,1172
117,3,14,1,269.99,0.2,1173
117,4,19,1,449,0.05,1174
118,1,18,1,449,0.07,1181
118,2,4,1,2899.99,0.07,1182
118,3,6,1,469.99,0.07,1183
118,4,3,2,999.99,0.1,1184
118,5,23,2,299.99,0.07,1185
119,1,25,1,499.99,0.05,1191
120,1,13,2,269.99,0.05,1201
120,2,6,2,469.99,0.05,1202
120,3,10,2,1549,0.05,1203
120,4,17,1,429,0.05,1204
120,5,16,2,599.99,0.2,1205
121,1,5,1,1320.99,0.2,1211
121,2,14,2,269.99,0.1,1212
121,3,4,2,2899.99,0.1,1213
121,4,24,2,549.99,0.07,1214
121,5,2,2,749.99,0.05,1215
122,1,16,1,599.99,0.1,1221
123,1,12,2,549.99,0.1,1231
124,1,16,1,599.99,0.05,1241
124,2,4,1,2899.99,0.07,1242
124,3,7,2,3999.99,0.05,1243
125,1,17,1,429,0.1,1251
126,1,9,2,2999.99,0.05,1261
127,1,17,1,429,0.07,1271
127,2,20,1,599.99,0.1,1272
127,3,4,2,2899.99,0.07,1273
128,1,24,2,549.99,0.1,1281
128,2,16,2,599.99,0.1,1282
128,3,4,2,2899.99,0.2,1283
128,4,3,2,999.99,0.2,1284
129,1,18,1,449,0.1,1291
129,2,9,1,2999.99,0.1,1292
130,1,26,1,599.99,0.05,1301
130,2,5,2,1320.99,0.07,1302
131,1,22,2,269.99,0.2,1311
131,2,4,2,2899.99,0.07,1312
131,3,24,2,549.99,0.1,1313
132,1,2,2,749.99,0.05,1321
132,2,20,1,599.99,0.05,1322
132,3,9,1,2999.99,0.1,1323
133,1,13,2,269.99,0.05,1331
133,2,22,1,269.99,0.2,1332
134,1,19,2,449,0.1,1341
134,2,2,2,749.99,0.07,1342
134,3,18,2,449,0.07,1343
135,1,5,2,1320.99,0.05,1351
135,2,18,2,449,0.05,1352
135,3,25,1,499.99,0.2,1353
135,4,2,1,749.99,0.05,1354
136,1,7,2,3999.99,0.2,1361
136,2,3,2,999.99,0.05,1362
137,1,23,1,299.99,0.07,1371
137,2,22,1,269.99,0.1,1372
138,1,16,2,599.99,0.1,1381
138,2,6,1,469.99,0.2,1382
139,1,19,2,449,0.07,1391
139,2,3,1,999.99,0.07,1392
140,1,15,1,529.99,0.2,1401
140,2,21,1,269.99,0.2,1402
140,3,12,2,549.99,0.2,1403
140,4,3,1,999.99,0.05,1404
141,1,18,1,449,0.2,1411
142,1,16,2,599.99,0.1,1421
142,2,11,2,1680.99,0.1,1422
142,3,19,1,449,0.07,1423
143,1,6,1,469.99,0.2,1431
144,1,8,2,1799.99,0.05,1441
145,1,11,1,1680.99,0.2,1451
145,2,9,2,2999.99,0.1,1452
146,1,3,2,999.99,0.2,1461
146,2,12,1,549.99,0.1,1462
146,3,20,2,599.99,0.1,1463
146,4,6,2,469.99,0.05,1464
146,5,2,1,749.99,0.07,1465
147,1,26,2,599.99,0.2,1471
148,1,14,1,269.99,0.05,1481
149,1,12,2,549.99,0.07,1491
149,2,21,2,269.99,0.07,1492
150,1,7,1,3999.99,0.1,1501
150,2,3,1,999.99,0.2,1502
150,3,17,1,429,0.07,1503
150,4,25,2,499.99,0.07,1504
151,1,17,1,429,0.1,1511
151,2,26,1,599.99,0.1,1512
152,1,6,2,469.99,0.2,1521
152,2,22,2,269.99,0.2,1522
152,3,16,2,599.99,0.07,1523
153,1,16,1,599.99,0.07,1531
153,2,8,1,1799.99,0.07,1532
153,3,15,2,529.99,0.05,1533
154,1,12,1,549.99,0.1,1541
155,1,8,1,1799.99,0.1,1551
156,1,18,2,449,0.2,1561
156,2,17,2,429,0.05,1562
156,3,6,1,469.99,0.07,1563
157,1,4,1,2899.99,0.1,1571
157,2,7,2,3999.99,0.07,1572
158,1,24,1,549.99,0.1,1581
159,1,13,1,269.99,0.2,1591
160,1,21,1,269.99,0.07,1601
160,2,15,2,529.99,0.07,1602
160,3,18,2,449,0.1,1603
160,4,11,1,1680.99,0.05,1604
161,1,24,2,549.99,0.07,1611
161,2,22,1,269.99,0.05,1612
161,3,7,2,3999.99,0.05,1613
162,1,18,1,449,0.07,1621
162,2,21,2,269.99,0.07,1622
162,3,3,2,999.99,0.1,1623
163,1,12,1,549.99,0.1,1631
163,2,18,1,449,0.2,1632
164,1,4,2,2899.99,0.05,1641
164,2,10,2,1549,0.05,1642
164,3,14,1,269.99,0.1,1643
165,1,4,2,2899.99,0.05,1651
165,2,23,1,299.99,0.2,1652
165,3,2,1,749.99,0.05,1653
166,1,10,2,1549,0.1,1661
166,2,11,1,1680.99,0.2,1662
167,1,12,1,549.99,0.05,1671
167,2,10,1,1549,0.2,1672
167,3,13,2,269.99,0.05,1673
167,4,7,2,3999.99,0.05,1674
168,1,6,1,469.99,0.1,1681
168,2,11,2,1680.99,0.07,1682
168,3,12,2,549.99,0.07,1683
168,4,22,2,269.99,0.2,1684
169,1,20,2,599.99,0.1,1691
169,2,5,1,1320.99,0.05,1692
169,3,10,1,1549,0.2,1693
169,4,11,1,1680.99,0.2,1694
169,5,14,2,269.99,0.05,1695
170,1,12,2,549.99,0.1,1701
170,2,24,1,549.99,0.05,1702
170,3,7,1,3999.99,0.2,1703
170,4,18,2,449,0.05,1704
171,1,8,1,1799.99,0.05,1711
172,1,23,1,299.99,0.07,1721
172,2,16,1,599.99,0.2,1722
173,1,14,1,269.99,0.05,1731
173,2,16,1,599.99,0.2,1732
173,3,20,2,599.99,0.05,1733
174,1,22,2,269.99,0.2,1741
174,2,19,2,449,0.1,1742
175,1,5,1,1320.99,0.1,1751
175,2,2,2,749.99,0.2,1752
175,3,21,2,269.99,0.1,1753
175,4,19,1,449,0.07,1754
176,1,2,2,749.99,0.07,1761
176,2,11,2,1680.99,0.2,1762
176,3,16,2,599.99,0.05,1763
177,1,20,2,599.99,0.1,1771
178,1,10,2,1549,0.2,1781
178,2,12,1,549.99,0.05,1782
178,3,3,1,999.99,0.1,1783
178,4,18,1,449,0.07,1784
179,1,13,2,269.99,0.05,1791
179,2,26,1,599.99,0.1,1792
179,3,18,1,449,0.2,1793
179,4,12,2,549.99,0.2,1794
179,5,20,2,599.99,0.1,1795
180,1,16,1,599.99,0.07,1801
181,1,10,1,1549,0.05,1811
181,2,11,1,1680.99,0.1,1812
181,3,15,2,529.99,0.2,1813
181,4,24,2,549.99,0.05,1814
182,1,25,2,499.99,0.05,1821
182,2,24,2,549.99,0.07,1822
183,1,11,2,1680.99,0.2,1831
183,2,12,2,549.99,0.05,1832
183,3,19,1,449,0.07,1833
183,4,17,1,429,0.07,1834
184,1,4,1,2899.99,0.2,1841
184,2,5,1,1320.99,0.1,1842
184,3,14,1,269.99,0.1,1843
185,1,20,1,599.99,0.1,1851
185,2,8,1,1799.99,0.05,1852
186,1,4,1,2899.99,0.1,1861
186,2,6,1,469.99,0.1,1862
187,1,5,1,1320.99,0.05,1871
188,1,7,2,3999.99,0.07,1881
189,1,16,2,599.99,0.2,1891
190,1,24,1,549.99,0.05,1901
190,2,15,1,529.99,0.2,1902
190,3,3,2,999.99,0.2,1903
191,1,25,1,499.99,0.05,1911
191,2,12,2,549.99,0.2,1912
191,3,3,1,999.99,0.07,1913
191,4,8,2,1799.99,0.05,1914
191,5,23,1,299.99,0.05,1915
192,1,8,2,1799.99,0.1,1921
192,2,25,1,499.99,0.07,1922
192,3,2,1,749.99,0.05,1923
192,4,24,2,549.99,0.07,1924
192,5,10,2,1549,0.2,1925
193,1,12,2,549.99,0.1,1931
194,1,21,2,269.99,0.2,1941
195,1,18,1,449,0.2,1951
195,2,14,1,269.99,0.05,1952
195,3,5,2,1320.99,0.2,1953
195,4,4,2,2899.99,0.2,1954
195,5,21,2,269.99,0.1,1955
196,1,6,1,469.99,0.05,1961
196,2,3,2,999.99,0.07,1962
196,3,10,2,1549,0.07,1963
196,4,12,1,549.99,0.07,1964
196,5,20,1,599.99,0.1,1965
197,1,4,2,2899.99,0.2,1971
197,2,2,2,749.99,0.07,1972
198,1,6,2,469.99,0.05,1981
198,2,20,2,599.99,0.07,1982
198,3,8,2,1799.99,0.2,1983
198,4,13,2,269.99,0.05,1984
198,5,17,1,429,0.05,1985
199,1,25,2,499.99,0.05,1991
199,2,18,2,449,0.07,1992
199,3,4,1,2899.99,0.2,1993
200,1,23,2,299.99,0.05,2001
200,2,22,2,269.99,0.07,2002
201,1,24,1,549.99,0.05,2011
201,2,7,1,3999.99,0.2,2012
201,3,14,2,269.99,0.1,2013
201,4,17,1,429,0.05,2014
202,1,8,1,1799.99,0.07,2021
202,2,17,1,429,0.05,2022
202,3,15,2,529.99,0.05,2023
202,4,25,2,499.99,0.05,2024
203,1,26,1,599.99,0.05,2031
203,2,3,2,999.99,0.1,2032
203,3,17,2,429,0.2,2033
203,4,19,2,449,0.07,2034
204,1,6,2,469.99,0.07,2041
204,2,17,2,429,0.1,2042
205,1,22,2,269.99,0.05,2051
205,2,24,2,549.99,0.1,2052
206,1,25,1,499.99,0.05,2061
206,2,20,1,599.99,0.2,2062
207,1,12,2,549.99,0.2,2071
207,2,5,1,1320.99,0.05,2072
207,3,11,2,1680.99,0.07,2073
207,4,7,2,3999.99,0.1,2074
208,1,6,2,469.99,0.05,2081
208,2,4,2,2899.99,0.07,2082
208,3,3,1,999.99,0.05,2083
208,4,12,1,549.99,0.2,2084
208,5,10,2,1549,0.05,2085
209,1,13,1,269.99,0.1,2091
210,1,14,1,269.99,0.07,2101
210,2,13,2,269.99,0.2,2102
211,1,10,1,1549,0.07,2111
211,2,2,2,749.99,0.07,2112
212,1,16,2,599.99,0.07,2121
212,2,12,2,549.99,0.2,2122
212,3,19,1,449,0.1,2123
212,4,7,1,3999.99,0.2,2124
213,1,13,1,269.99,0.1,2131
214,1,21,1,269.99,0.1,2141
215,1,19,1,449,0.07,2151
215,2,12,2,549.99,0.1,2152
216,1,22,2,269.99,0.1,2161
216,2,16,2,599.99,0.05,2162
217,1,18,1,449,0.1,2171
217,2,10,2,1549,0.1,2172
217,3,17,1,429,0.07,2173
218,1,2,2,749.99,0.1,2181
218,2,13,1,269.99,0.07,2182
218,3,12,1,549.99,0.05,2183
219,1,26,1,599.99,0.05,2191
219,2,5,1,1320.99,0.2,2192
220,1,6,2,469.99,0.05,2201
220,2,25,1,499.99,0.07,2202
220,3,22,2,269.99,0.1,2203
220,4,3,2,999.99,0.2,2204
221,1,11,2,1680.99,0.07,2211
222,1,10,1,1549,0.1,2221
222,2,2,2,749.99,0.1,2222
223,1,7,2,3999.99,0.05,2231
223,2,5,1,1320.99,0.2,2232
223,3,21,2,269.99,0.1,2233
223,4,20,1,599.99,0.05,2234
223,5,15,1,529.99,0.05,2235
224,1,6,1,469.99,0.07,2241
224,2,11,2,1680.99,0.1,2242
224,3,10,2,1549,0.2,2243
224,4,25,1,499.99,0.05,2244
225,1,21,1,269.99,0.1,2251
225,2,9,1,2999.99,0.1,2252
226,1,2,1,749.99,0.05,2261
227,1,3,2,999.99,0.05,2271
227,2,15,2,529.99,0.1,2272
228,1,25,1,499.99,0.2,2281
228,2,2,2,749.99,0.07,2282
228,3,23,2,299.99,0.1,2283
228,4,4,1,2899.99,0.2,2284
228,5,22,1,269.99,0.05,2285
229,1,25,2,499.99,0.2,2291
229,2,5,2,1320.99,0.1,2292
229,3,8,1,1799.99,0.2,2293
230,1,11,2,1680.99,0.07,2301
231,1,8,2,1799.99,0.07,2311
231,2,14,2,269.99,0.2,2312
231,3,5,2,1320.99,0.2,2313
232,1,18,1,449,0.07,2321
232,2,11,2,1680.99,0.05,2322
232,3,26,2,599.99,0.07,2323
232,4,8,2,1799.99,0.1,2324
233,1,14,1,269.99,0.1,2331
233,2,16,2,599.99,0.1,2332
233,3,12,1,549.99,0.2,2333
233,4,15,2,529.99,0.07,2334
234,1,11,2,1680.99,0.2,2341
234,2,17,2,429,0.05,2342
234,3,12,1,549.99,0.1,2343
234,4,7,1,3999.99,0.05,2344
234,5,23,1,299.99,0.1,2345
235,1,6,1,469.99,0.07,2351
235,2,13,2,269.99,0.05,2352
235,3,7,2,3999.99,0.05,2353
236,1,3,2,999.99,0.07,2361
236,2,2,2,749.99,0.1,2362
236,3,4,2,2899.99,0.1,2363
237,1,15,1,529.99,0.2,2371
237,2,24,1,549.99,0.07,2372
237,3,20,2,599.99,0.2,2373
237,4,26,1,599.99,0.05,2374
238,1,20,2,599.99,0.2,2381
238,2,25,1,499.99,0.07,2382
238,3,13,2,269.99,0.2,2383
238,4,22,2,269.99,0.05,2384
238,5,7,1,3999.99,0.07,2385
239,1,16,2,599.99,0.1,2391
239,2,21,2,269.99,0.05,2392
239,3,18,1,449,0.07,2393
239,4,4,2,2899.99,0.07,2394
240,1,9,1,2999.99,0.07,2401
240,2,8,1,1799.99,0.07,2402
240,3,5,1,1320.99,0.07,2403
240,4,18,2,449,0.07,2404
241,1,7,1,3999.99,0.2,2411
242,1,3,1,999.99,0.2,2421
243,1,25,2,499.99,0.05,2431
243,2,19,2,449,0.07,2432
243,3,7,2,3999.99,0.05,2433
244,1,19,1,449,0.07,2441
244,2,25,1,499.99,0.2,2442
244,3,22,1,269.99,0.1,2443
245,1,10,2,1549,0.05,2451
245,2,8,1,1799.99,0.1,2452
246,1,17,2,429,0.2,2461
247,1,25,1,499.99,0.07,2471
247,2,3,1,999.99,0.2,2472
248,1,13,1,269.99,0.1,2481
248,2,26,2,599.99,0.1,2482
248,3,17,1,429,0.1,2483
248,4,9,1,2999.99,0.2,2484
249,1,7,2,3999.99,0.05,2491
249,2,18,2,449,0.05,2492
249,3,22,1,269.99,0.1,2493
250,1,17,2,429,0.05,2501
250,2,11,2,1680.99,0.1,2502
251,1,23,2,299.99,0.2,2511
251,2,22,2,269.99,0.05,2512
252,1,11,2,1680.99,0.1,2521
252,2,4,1,2899.99,0.07,2522
252,3,19,1,449,0.1,2523
253,1,11,2,1680.99,0.07,2531
254,1,6,2,469.99,0.07,2541
254,2,3,1,999.99,0.05,2542
254,3,12,1,549.99,0.05,2543
255,1,5,2,1320.99,0.1,2551
255,2,14,1,269.99,0.2,2552
255,3,2,2,749.99,0.2,2553
255,4,21,1,269.99,0.07,2554
256,1,11,1,1680.99,0.1,2561
256,2,21,1,269.99,0.05,2562
257,1,8,2,1799.99,0.07,2571
257,2,13,2,269.99,0.2,2572
257,3,10,2,1549,0.1,2573
257,4,15,1,529.99,0.1,2574
258,1,8,2,1799.99,0.05,2581
258,2,4,1,2899.99,0.07,2582
258,3,19,1,449,0.07,2583
258,4,18,1,449,0.05,2584
259,1,26,1,599.99,0.05,2591
259,2,6,2,469.99,0.1,2592
259,3,2,2,749.99,0.2,2593
259,4,4,1,2899.99,0.1,2594
260,1,23,2,299.99,0.2,2601
260,2,10,1,1549,0.2,2602
260,3,24,2,549.99,0.2,2603
261,1,16,2,599.99,0.05,2611
261,2,14,1,269.99,0.1,2612
261,3,17,2,429,0.1,2613
262,1,2,1,749.99,0.07,2621
262,2,9,2,2999.99,0.05,2622
263,1,9,1,2999.99,0.07,2631
263,2,3,1,999.99,0.2,2632
263,3,2,2,749.99,0.05,2633
264,1,10,1,1549,0.2,2641
264,2,24,2,549.99,0.05,2642
264,3,15,2,529.99,0.1,2643
264,4,3,2,999.99,0.07,2644
265,1,9,2,2999.99,0.2,2651
266,1,6,2,469.99,0.07,2661
266,2,19,1,449,0.2,2662
266,3,25,1,499.99,0.05,2663
267,1,22,2,269.99,0.2,2671
